gene,ligand,tf,pair,cell_type,mean,std,n
ATP1A1,ADM,ATOH7,ADM#ATOH7,Endothelial_arterial,0.0,0.0,99
ATP1A1,IL18,CREB1,IL18#CREB1,Endothelial_arterial,0.0,0.0,99
ATP1A1,GNRH1,CREB1,GNRH1#CREB1,Endothelial_arterial,0.0,0.0,99
ATP1A1,CCL15,CREB3,CCL15#CREB3,Endothelial_arterial,0.0,0.0,99
ATP1A1,PDGFA,CUX2,PDGFA#CUX2,Endothelial_arterial,0.0,0.0,99
ATP1A1,IL18,ELK1,IL18#ELK1,Endothelial_arterial,0.0,0.0,99
ATP1A1,ADM,ELK1,ADM#ELK1,Endothelial_arterial,0.0,0.0,99
ATP1A1,GDF2,EP300,GDF2#EP300,Endothelial_arterial,0.0,0.0,99
ATP1A1,IL26,EP300,IL26#EP300,Endothelial_arterial,0.0,0.0,99
ATP1A1,TGFB1,ESRRA,TGFB1#ESRRA,Endothelial_arterial,0.0,0.0,99
ATP1A1,IL4,ESRRA,IL4#ESRRA,Endothelial_arterial,0.0,0.0,99
ATP1A1,IFNG,ESRRA,IFNG#ESRRA,Endothelial_arterial,0.0,0.0,99
ATP1A1,OSM,ETV6,OSM#ETV6,Endothelial_arterial,0.0,0.0,99
ATP1A1,PDGFA,ETV6,PDGFA#ETV6,Endothelial_arterial,0.0,0.0,99
ATP1A1,LIF,FEV,LIF#FEV,Endothelial_arterial,0.0,0.0,99
ATP1A1,VEGFA,FEV,VEGFA#FEV,Endothelial_arterial,0.0,0.0,99
ATP1A1,ADM,FOXI1,ADM#FOXI1,Endothelial_arterial,0.0,0.0,99
ATP1A1,BMP4,GRHL2,BMP4#GRHL2,Endothelial_arterial,0.0,0.0,99
ATP1A1,GAS6,GRHL2,GAS6#GRHL2,Endothelial_arterial,0.0,0.0,99
ATP1A1,IL26,HDAC2,IL26#HDAC2,Endothelial_arterial,0.0,0.0,99
ATP1A1,FGF2,HES1,FGF2#HES1,Endothelial_arterial,0.0,0.0,99
ATP1A1,BMP2,HES1,BMP2#HES1,Endothelial_arterial,0.0,0.0,99
ATP1A1,BMP4,HES1,BMP4#HES1,Endothelial_arterial,0.0,0.0,99
ATP1A1,BMP6,HES1,BMP6#HES1,Endothelial_arterial,0.0,0.0,99
ATP1A1,IGF1,HNF4A,IGF1#HNF4A,Endothelial_arterial,0.0,0.0,99
