,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
21,Effector CD8 T cell,Effector CD8 T cell,SLCO2B1,SLCO2B1,62.69795,2.404356566908187,0.00810048123727892,0.0673618966047405,0.13289139186319987,43.477158,0.008991008991008992,0.014177439327139926,0.1924433075655719,True
115,Effector CD8 T cell,Effector CD8 T cell,ABCC3,SLCO2B1,114.56501,4.393367583562529,5.580409002235768e-06,7.347538519610427e-05,0.033732610097171795,21.738579,0.004995004995004995,0.008467926922862544,0.24131457139037846,True
169,Effector CD8 T cell,Proliferating CD8 T cell,SLC7A7,SLC7A7,12.73588,5.695658641072098,6.1448275061767845e-09,9.518458293881686e-08,2477.1286402003384,18.095957,0.001998001998001998,0.0036369160793123926,18.095956802368164,True
319,Effector CD8 T cell,other,SLC2A3,SLC2A4,310.26218,2.896359643995184,0.0018875973748038958,0.017543552071706794,0.11238069022508568,3830.275,0.000999000999000999,0.0019343401696342874,0.28908376662179747,True
320,Effector CD8 T cell,other,SLC2A3,SLC2A3,76.36599,0.7128918296871731,0.23795634766341545,0.6531225066685006,0.02766067951615264,188.22064,0.026973026973026972,0.03805123447980591,0.014205646737786569,True
337,Effector CD8 T cell,other,SLCO2B1,SLCO2B1,-7.8868737,-0.07362554798844977,0.5293458290249363,0.6531225066685006,-0.0028415925362132587,94.01512,0.027972027972027972,0.03932011049448772,0.08959677632191014,True
340,Effector CD8 T cell,other,SLC16A1,SLC1A5,226.82693,2.117474928945322,0.01710978044084954,0.13516726548271135,0.1016068663904942,20.009583,0.01098901098901099,0.01702219349278173,0.0404173619891431,True
354,Effector CD8 T cell,other,SLC40A1,SLC40A1,333.66833,3.1148608274439176,0.0009201585888512728,0.009201585888512727,0.15287766657031307,2255.5361,0.000999000999000999,0.0019343401696342874,0.31759561880583187,True
371,Effector CD8 T cell,other,SLC5A7,SLC5A7,282.94968,2.641391978695084,0.004128306587963079,0.03583914510429486,0.11622476240941422,18.012146,0.027972027972027972,0.03932011049448772,0.06539288508310369,True
388,Effector CD8 T cell,other,SLC16A4,SLCO2B1,247.6063,2.311454402548533,0.010403884489019067,0.0838680484318884,0.0843994709331869,98.4053,0.001998001998001998,0.0036369160793123926,0.2031049370387347,True
390,Effector CD8 T cell,other,MSR1,MSR1,222.50427,2.0771220089212847,0.018895149863760303,0.14634478816049648,0.09505045169407192,161.9585,0.000999000999000999,0.0019343401696342874,0.12697612653541843,True
391,Effector CD8 T cell,other,CPT1A,CPT1A,201.55127,1.8815215242344718,0.029950505062101226,0.22534189522914258,0.07492093116199797,278.00873,0.005994005994005994,0.009906411580051747,0.1467804622982184,True
416,Effector CD8 T cell,other,FOLR2,FOLR2,207.0941,1.9332649672198636,0.026601782561664726,0.20403308955063237,0.1021665286538443,81.00695,0.000999000999000999,0.0019343401696342874,0.08544929953367973,True
432,Effector CD8 T cell,other,ABCB1,SLCO2B1,140.77174,1.3141324613413732,0.09440081592300864,0.5918781315807685,0.05017943519201232,392.26764,0.000999000999000999,0.0019343401696342874,0.09386448951047333,True
449,Effector CD8 T cell,other,AQP9,AQP9,327.4235,3.0565639699661475,0.0011194485048271086,0.011054553985167697,327.4234924316406,24.48905,0.00999000999000999,0.015566287755636869,24.489049911499023,True
471,Effector CD8 T cell,other,SCNN1G,SCNN1G,86.07353,0.8035136851191061,0.21083894504667,0.6531225066685006,0.08111183032092319,26.678585,0.002997002997002997,0.005356634315910334,0.2654823253821838,True
478,Proliferating CD8 T cell,other,SLC2A3,SLC2A3,33.02289,3.5004191466296453,0.00023226356520821142,0.0025843410776688314,1.3781606788304035,13.922258,0.012987012987012988,0.019579656984237137,0.1291653558972781,True
495,Proliferating CD8 T cell,other,SLCO2B1,SLCO2B1,13.981402,1.4820256900500948,0.06916672972604769,0.4591740880972914,1.4966250492508064,18.18188,0.005994005994005994,0.009906411580051747,0.6627871599476461,True
512,Proliferating CD8 T cell,other,SLC40A1,SLC40A1,22.101835,2.34278985101556,0.009570080224970821,0.0779418904920304,0.7183560911994948,57.88729,0.002997002997002997,0.005356634315910334,1.1348085688015497,True
